chr	Start	End	Length	Hits	center	median
chr1	3125995	3126157	163	11.94887708	3126076	3126081
chr1	3658573	3658719	147	13.94393196	3658653	3658651
chr1	3668586	3668615	30	1.694724039	3668599	3668609
chr1	4609787	4610613	827	40.33014168	4610284	4610289
chr1	4769620	4769710	91	7.465366652	4769661	4769661
chr1	4923539	4924204	666	107.6900592	4923857	4923865
chr1	5027104	5028117	1014	162.3931769	5027527	5027523
chr1	5122214	5122916	703	35.05289974	5122523	5122538
chr1	5150856	5150882	27	1.801985054	5150863	5150874
chr1	5156874	5157433	560	45.97207108	5157157	5157177
chr1	5315508	5315693	186	15.05944652	5315613	5315611
chr1	5524981	5526078	1098	125.8171707	5525572	5525545
chr1	6446192	6446281	90	9.052829675	6446219	6446223
chr1	6670714	6670765	52	7.014870388	6670736	6670735
chr1	6819957	6820150	194	17.89113732	6820077	6820067
chr1	6831978	6832081	104	8.237645961	6832021	6832023
chr1	7116653	7116709	57	4.783841274	7116683	7116681
chr1	8859544	8859784	241	8.559429006	8859597	8859658
chr1	9942549	9943670	1122	75.76918107	9942985	9943035
chr1	10088928	10089822	895	355.03396	10089356	10089359
chr1	10133562	10133855	294	12.57099097	10133601	10133640
chr1	10162751	10163230	480	49.36151915	10162943	10162952
chr1	10452619	10452962	344	62.21138876	10452872	10452863
chr1	10616132	10616738	607	147.5482524	10616658	10616626
chr1	10809006	10809369	364	19.52150475	10809066	10809132
chr1	11140076	11140174	99	5.384502959	11140120	11140118
chr1	11206525	11206659	135	11.92742488	11206584	11206588
chr1	11545409	11547187	1779	233.8719173	11546615	11546398
chr1	11577552	11577586	35	2.574264363	11577564	11577565
chr1	12152866	12152907	42	2.702977581	12152899	12152894
chr1	12367366	12367433	68	3.797039935	12367398	12367400
chr1	12676514	12676572	59	3.132021641	12676547	12676546
chr1	12711714	12711777	64	3.90430095	12711757	12711755
chr1	12855909	12855980	72	3.389448078	12855939	12855942
chr1	12951696	12951935	240	7.272296825	12951716	12951774
chr1	13026052	13026508	457	21.55946404	13026376	13026294
chr1	13052228	13052420	193	25.05617313	13052308	13052314
chr1	13129236	13129600	365	20.78718473	13129533	13129469
chr1	13234652	13234729	78	3.496709093	13234692	13234698
chr1	13311766	13312202	437	47.28065546	13312069	13312047
chr1	13845247	13846300	1054	330.1279523	13845801	13845811
chr1	14227564	14227985	422	24.51986805	14227718	14227720
chr1	14749758	14750379	622	122.3848182	14750073	14750071
chr1	15012058	15012166	109	4.848197883	15012115	15012114
chr1	15122503	15122754	252	8.473620194	15122535	15122604
