Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	-1	-1	2
1	2500001	0.763105	0.994685	2
1	5000001	0.654944	0.994685	2
1	7500001	1.04697	0.994685	2
1	10000001	0.993045	0.994685	2
1	12500001	-1	0.994685	2
1	15000001	1.84215	0.994685	2
1	17500001	0.965294	0.994685	2
1	20000001	1.50889	0.994685	2
1	22500001	1.40857	0.994685	2
1	25000001	1.44022	0.994685	2
1	27500001	1.36812	0.994685	2
1	30000001	0.666408	0.994685	2
1	32500001	0.895376	0.994685	2
1	35000001	0.972206	0.994685	2
1	37500001	1.06486	0.994685	2
1	40000001	1.14464	0.994685	2
1	42500001	0.996325	0.994685	2
1	45000001	1.26471	0.994685	2
1	47500001	0.880453	0.994685	2
1	50000001	1.0287	0.994685	2
1	52500001	1.09022	0.994685	2
1	55000001	0.719648	0.994685	2
1	57500001	0.623301	0.994685	2
1	60000001	0.677451	0.994685	2
1	62500001	1.18378	0.994685	2
1	65000001	1.10746	0.994685	2
1	67500001	0.882172	0.994685	2
1	70000001	0.491781	0.994685	2
1	72500001	0.990628	0.994685	2
1	75000001	1.57245	1.66087	3
1	77500001	1.37755	1.66087	3
1	80000001	1.2573	1.66087	3
1	82500001	1.72734	1.66087	3
1	85000001	1.89086	1.66087	3
1	87500001	2.00637	1.66087	3
1	90000001	1.91616	1.66087	3
1	92500001	1.80006	1.66087	3
1	95000001	1.66087	1.66087	3
1	97500001	1.1561	1.66087	3
1	100000001	1.63393	1.66087	3
1	102500001	-1	1.66087	3
1	105000001	0.860054	1.66087	3
1	107500001	1.57729	1.66087	3
1	110000001	1.44123	1.66087	3
1	112500001	1.71447	1.66087	3
1	115000001	2.30771	1.66087	3
1	117500001	2.17514	1.66087	3
1	120000001	-1	-1	3
1	122500001	-1	-1	3
1	125000001	-1	-1	3
1	127500001	-1	-1	3
1	130000001	-1	-1	3
1	132500001	-1	-1	3
1	135000001	-1	-1	3
1	137500001	-1	-1	3
1	140000001	-1	-1	3
1	142500001	-1	-1	3
1	145000001	-1	-1	3
1	147500001	-1	-1	3
1	150000001	1.32947	1.32265	3
1	152500001	1.04658	1.32265	3
1	155000001	1.62336	1.32265	3
1	157500001	1.04431	1.32265	3
1	160000001	1.72477	1.32265	3
1	162500001	0.926615	1.32265	3
1	165000001	1.04601	1.32265	3
1	167500001	1.39855	1.32265	3
1	170000001	1.46578	1.32265	3
1	172500001	0.975374	1.32265	3
1	175000001	1.23338	1.32265	3
1	177500001	1.66905	1.32265	3
1	180000001	1.55078	1.32265	3
1	182500001	1.31584	1.32265	3
1	185000001	0.691693	0.982992	2
1	187500001	0.426971	0.982992	2
1	190000001	0.456613	0.982992	2
1	192500001	0.888536	0.982992	2
1	195000001	1.02384	0.982992	2
1	197500001	1.21993	0.982992	2
